नमस्कार मैं रवश कुमार। सुप्रीम कोर्ट के (Start: 0.16s, Duration: 6.4s)
वकीलों के दो बड़े संगठनों ने जस्टिस बेला (Start: 2.96s, Duration: 6.0s)
त्रिवेदी के विदाई समारोह का बहिष्कार (Start: 6.56s, Duration: 5.36s)
क्यों किया? 16 मई के दिन जस्टिस बेला (Start: 8.96s, Duration: 6.24s)
त्रिवेदी और उनसे ठीक 3 दिन पहले यानी 13 (Start: 11.92s, Duration: 6.48s)
मई को चीफ जस्टिस संजीव खन्ना का विदाई (Start: 15.2s, Duration: 6.239s)
समारोह भारत में न्यायपालिका के भविष्य को (Start: 18.4s, Duration: 6.48s)
लेकर अलग-अलग संदेश दे रहा है। उम्मीद है (Start: 21.439s, Duration: 6.321s)
इस वीडियो को आप पूरा देखेंगे और उत्तेजना (Start: 24.88s, Duration: 5.52s)
की शांति के लिए नहीं बल्कि न्याय के (Start: 27.76s, Duration: 6.319s)
विवेक की खातिर देखेंगे। वकीलों के संबोधन (Start: 30.4s, Duration: 6.48s)
दोनों ही जजों के लिए तारीफों से भरे हुए (Start: 34.079s, Duration: 6.0s)
थे। दोनों को ही महान बताया गया। न्याय के (Start: 36.88s, Duration: 6.72s)
हक में फैसला लेने वाला जज कहा गया। लेकिन (Start: 40.079s, Duration: 5.841s)
फिर भी जस्टिस बेला त्रिवेदी के विदाई (Start: 43.6s, Duration: 4.639s)
समारोह और चीफ जस्टिस संजीव खन्ना के (Start: 45.92s, Duration: 6.159s)
विदाई समारोह में अंतर नजर आ जाता है। चीफ (Start: 48.239s, Duration: 6.561s)
जस्टिस संजीव खन्ना के छोटे से कार्यकाल (Start: 52.079s, Duration: 5.601s)
की उपलब्धियां किसी अन्य चीफ जस्टिस के (Start: 54.8s, Duration: 5.759s)
बहुत लंबे कार्यकाल पर भारी पड़ रही थी। (Start: 57.68s, Duration: 6.08s)
वे न्याय की उम्मीद में खाद पानी डालकर जा (Start: 60.559s, Duration: 6.001s)
रहे थे। यह ऐलान करते हुए सुप्रीम कोर्ट (Start: 63.76s, Duration: 5.679s)
की सीढ़ियों से उतर रहे थे कि रिटायर होने (Start: 66.56s, Duration: 6.16s)
के बाद सरकार से कोई पद नहीं लेंगे। यह (Start: 69.439s, Duration: 6.481s)
कोई सामान्य इंकार नहीं था बल्कि सरकार से (Start: 72.72s, Duration: 6.8s)
