रातोंरात संजय गांधी को Maruti कार का (Start: 0.88s, Duration: 5.12s)
प्लांट डालने के लिए सैकड़ों एकड़ जमीन (Start: 3.36s, Duration: 5.04s)
किसानों से खाली करा कर दे दी जाती है। (Start: 6.0s, Duration: 4.559s)
लाइसेंस दे दिया जाता है और बैंकों से (Start: 8.4s, Duration: 4.72s)
करोड़ों रुपए का लोन अप्रूव करवा दिए जाते (Start: 10.559s, Duration: 5.12s)
हैं। जैसे देश संजय गांधी की प्राइवेट (Start: 13.12s, Duration: 4.159s)
प्रॉपर्टी (Start: 15.679s, Duration: 4.401s)
एक कार गुजारी उनके काले कारनामे प्रति जब (Start: 17.279s, Duration: 5.041s)
पर्दा उठा है तो आप लोगों को पता हुआ है (Start: 20.08s, Duration: 4.4s)
कि यहां पर क्या हो रहा है? यह फार्मूला (Start: 22.32s, Duration: 4.56s)
कैसे भूल रहा है अपना कार बनाने का कि ये (Start: 24.48s, Duration: 5.119s)
जमीन के पैसे कहां से दिए गए? मेनका गांधी (Start: 26.88s, Duration: 4.88s)
को देखकर संजय बोले कि लंबी लाइन लगी हुई (Start: 29.599s, Duration: 4.241s)
है। क्या मैं आपकी थाली में से खाने के (Start: 31.76s, Duration: 4.16s)
लिए कुछ ले सकता हूं? इस पर मेनका ने (Start: 33.84s, Duration: 4.48s)
मुड़कर देखा और कहा कि क्या तुम सिर्फ वी (Start: 35.92s, Duration: 4.479s)
नॉट इवन इंट्रोड्यूस जस्ट समबडी वो अप टू (Start: 38.32s, Duration: 4.079s)
मी एंड सेड एक्सक्यूज मी दे सच अ लॉन्ग (Start: 40.399s, Duration: 4.881s)
लाइन ऑफ़ पीपल फॉर द फूड। संजय ने एक आर्मी (Start: 42.399s, Duration: 5.441s)
ऑफिसर की महंगी कार चुरा ली। इस गाड़ी से (Start: 45.28s, Duration: 5.04s)
एक मोटरसाइकिल सवार को टक्कर भी मार दी। (Start: 47.84s, Duration: 5.12s)
यह खबर अखबारों में छपने से पहले ही संजय (Start: 50.32s, Duration: 4.879s)
को दिल्ली से कश्मीर भेज दिया जाता है और (Start: 52.96s, Duration: 4.32s)
कहा जाता है कि संजय तो दिल्ली में थे ही (Start: 55.199s, Duration: 5.601s)
नहीं। ऋतु और आज संजय गांधी एक महान (Start: 57.28s, Duration: 7.44s)
परंपरा को शक्ति और शक्ति देने का अवसर (Start: 60.8s, Duration: 6.08s)
